Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38221046,Dám Bị Ghét,Ichiro Kishimi,"Kishimi, Ichiro","Fumitake Koga, Nguyễn Thanh Vân","=""6045989635""","=""9786045989630""",0,3.93,Nxb. Lao Động & Nhã Nam,Paperback,336,2018,2013,,2019/10/22,"to-read, self-help","to-read (#4), self-help (#2)",to-read,,,,0,0
25277490,Nhật Bản Duy Tân 30 Năm,Đào Trinh Nhất,"Nhất, Đào Trinh",,"=""6047711758""","=""9786047711758""",4,3.99,Nxb Thế giới & Alphabooks,Paperback,412,2015,1936,2016/12/14,2019/10/23,history,history (#6),read,"Đọc quyển sách này, bạn sẽ thấy tác giả không chỉ viết về những sự kiện diễn ra trong 30 năm Minh Trị duy tân (1866-1899), mà còn về nước Nhật từ thuở sơ khai mới dựng nước. Từ gốc gác dân tộc, vị trí địa lý đến cái tinh thần, trách nhiệm của dân đối với đất nước đã đưa Nhật Bản từ một nước phong kiến lên ngang hàng với các nước phương Tây chỉ trong vỏn vẹn nửa đời người. Điều mà chúng ta đã được hỏi mỗi ngày từ lớp 1 đến bây giờ câu trả lời vẫn là “thưa Bác, vẫn chưa!”. <br/>Dân tộc Nhật Bản đã sẵn cái tính vì nước quên thân, phải giữ thân thể cũng như danh dự luôn trong sạch, sẵn sàng gạt cái chưa tốt đã theo đuổi hàng trăm năm để học hỏi cái mới tốt đẹp hơn. Từ tầng lớp nông dân đến quan lại quyền cao chức trọng, khi nguy biến sắp đến, vận nước sắp nguy, đều nhất nhất đồng lòng cùng nhau thay đổi. <br/>Về cách trình bày nội dung quyển sách, tác giả Đào Trinh Nhất rất cẩn thận ghi đầy đủ tên gọi các địa danh, tên riêng của Nhật bằng từ Hán Việt lẫn Hán tự kế bên, giúp cho những ai đang học tiếng Nhật có thêm một lượng kiến thức bổ ích. Bên cạnh đó, biên tập viên còn ghi chú thêm Romaji của từ ngay bên cạnh. Tuy đôi chỗ còn chưa chính xác, thiếu trường âm nhưng vẫn giúp ích rất nhiều. Nguồn gốc chữ Hiragana, Katakana cũng được nhắc đến ở cuối quyển sách. Và với một chút hoài nghi, tò mò tự thân mình muốn tìm hiểu để rõ hơn về những mặt trái, những góc tối bên cạnh sự thay đổi thần kỳ này. Có lẽ sẽ được trả lời trong một quyển sách khác.",,,1,0
40606994,Tây Ban Nha – Hành Trình Không Ngôn Ngữ,Uyên Nguyên,"Nguyên, Uyên",,"=""""","=""""",0,2.70,NXB Thế giới,,,2018,,2019/10/22,2019/01/03,"unfinished-books, self-help","unfinished-books (#1), self-help (#5)",unfinished-books,,,,1,0
46142876,Tâm Lý Dân Tộc An Nam,Paul Giran,"Giran, Paul",,"=""""","=""""",4,3.43,,Unknown Binding,,2019,1904,2019/10/22,2019/10/22,history,history (#5),read,"Thật ngạc nhiên là dù đã được xuất bản lần đầu vào hơn một thế kỷ trước, nhưng mình nghĩ có một số quan điểm của tác giả vẫn đúng trong thời điểm hiện nay. Mình đã chuẩn bị sẵn tâm thế là sẽ có không ít sự đả kích trong quyển sách này, và thật như vậy. Là dân Sài Gòn, mình luôn được thấy những hình ảnh tân thời của một hòn ngọc viễn đông khi xưa, mà không mảy may nhận thức là tất cả sự hào nhoáng ở quá khứ đều nhờ người Pháp mang đến.<br/>Dù đã qua nghìn năm văn hiến, nhưng dân tộc ta vẫn bị cho là lạc hậu khi so sánh với các nước phương Tây. Vì chúng ta thật chất chỉ phát triển theo chiều ngang mà không có chiều sâu. Nghìn năm qua, bị ảnh hưởng bởi văn hóa Trung Hoa, giáo dục của chúng ta chỉ hướng về những cái đã được thế hệ trước đúc kết, nền giáo dục chỉ cho ra những lớp người uyên bác về quá khứ, mà không khơi gợi niềm khao khát sự mới mẻ.<br/>Đọc để có thêm một góc nhìn khác về dân tộc Việt Nam chỉ mới trăm năm trước.",,,1,0
22428233,Lời vàng của bố,Justin Halpern,"Halpern, Justin",Lê Khánh Toàn,"=""""","=""""",5,3.98,Alpha book,Paperback,228,2013,2010,2019/01/08,2019/10/22,self-help,self-help (#4),read,"Thô nhưng thật. Cuốn sách này thu hút mình ngay từ câu trích ở bìa sau. Nó mang lại cho mình cảm giác được bù lại những gì mình bị khuyết trong đời thật. Nó cho mình thấy những gì (có thể) xảy ra giữa một người cha và một thằng con trai, dù là ở một thế giới khác.",,,1,0
35966839,"Mình Là Cá, Việc Của Mình Là Bơi",Takeshi Furukawa,"Furukawa, Takeshi",Như Nữ,"=""6047735703""","=""9786047735709""",0,3.62,NXB Thế Giới - Skybooks,Paperback,280,2017,,,2019/10/22,"to-read, self-help","to-read (#8), self-help (#3)",to-read,,,,0,0
32804008,Bài học diệu kỳ từ chiếc xe rác,David J. Pollay,"Pollay, David J.",,"=""""","=""""",0,3.73,NXB Tổng Hợp TP.HCM,Paperback,112,,2010,,2019/10/22,"to-read, self-help","to-read (#3), self-help (#1)",to-read,,,,0,0
38310382,Sự minh định của địa lý,Robert D. Kaplan,"Kaplan, Robert D.",,"=""""","=""""",0,3.78,NXB Hội nhà văn ,Hardcover,476,2017,2012,,2019/10/22,"to-read, history","to-read (#1), history (#4)",to-read,,,,0,0
40813057,Thành Cát Tư Hãn Và Sự Hình Thành Thế Giới Hiện Đại,Jack Weatherford,"Weatherford, Jack",Vũ Phương Linh,"=""""","=""""",0,4.06,Omega plus & NXB Khoa Học Xã Hội,Hardcover,428,2018,2004,,2019/10/22,"to-read, history","to-read (#2), history (#3)",to-read,,,,0,0
40797076,Homo Deus: Lược sử tương lai,Yuval Noah Harari,"Harari, Yuval Noah",Dương Ngọc Trà,"=""6047774164""","=""9786047774166""",0,4.19,Nhã Nam & NXB Thế Giới,Paperback,512,2018,2015,,2019/10/22,"to-read, history","to-read (#6), history (#1)",to-read,,,,0,0
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",0,4.08,"Crown Publishing Group/Random House, Inc.",Hardcover,333,2012,2012,,2019/10/22,"to-read, english","to-read (#5), english (#2)",to-read,,,,0,0
30780006,The Things You Can See Only When You Slow Down: How to Be Calm in a Busy World,Haemin Sunim,"Sunim, Haemin","Chi-Young Kim, Youngcheol Lee","=""0143130773""","=""9780143130772""",0,4.03,Penguin Life,Hardcover,288,2017,2012,,2019/10/22,"to-read, english","to-read (#7), english (#1)",to-read,,,,0,0
